Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,-2.8776E-16,0.4538,0.39752,0,0,0,22.232,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/Chassis.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Assem2/meshes/Chassis.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_tyre_mount,-1.3878E-17,0.035211,-5.5511E-17,0,0,0,14.29,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/left_tyre_mount.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/left_tyre_mount.STL,,Wheel mount on chassis-1,Origin_left_tyre_mount_j,,left_tyre_mount_j,fixed,0.34367,-0.09653,0.32653,3.1416,0,1.5708,Chassis,0,0,0,,,,,,,,,,,,
l_bearing,0.0809,-0.009926,-0.0012141,0,0,0,1.267,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/l_bearing.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Assem2/meshes/l_bearing.STL,,New tyre with rim-1/roller bearings-1,Origin_l_bearing_j,Axis_l_bearing_j,l_bearing_j,fixed,0.01,0,0,3.0199,0,1.5708,left_tyre_mount,0,0,0,,,,,,,,,,,,
l_rim,0.13619,2.8023E-05,-3.4335E-08,0,0,0,70.756,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/l_rim.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/l_rim.STL,,New tyre with rim-1/rim_experiment-1,Origin_l_rim_j,Axis_l_rim_j,l_rim_j,continuous,0,-0.009926,-0.0012141,0,0,0,l_bearing,1,0,0,5,1,,,,,,,,,,
l_sprocket,9.3675E-16,-0.029524,0.00039802,0,0,0,1.5931,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/l_sprocket.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/l_sprocket.STL,,New tyre with rim-1/sprockets-1,Origin_l_sprocket_j,Axis_l_sprocket_j,l_sprocket_j,fixed,0.1422,0,0,0,-0.31416,1.5708,l_rim,0,0,0,,,,,,,,,,,,
l_tyre,0.1307,-6.9389E-17,0,0,0,0,7.6828,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/l_tyre.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Assem2/meshes/l_tyre.STL,,New tyre with rim-1/tyre-1,Origin_l_tyre_j,Axis_l_tyre_j,l_tyre_j,fixed,0,0,0,-2.827,0,0,l_rim,1,0,0,,,,,,,,,,,,
right_tyre_mount,0,0.035211,0,0,0,0,14.29,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/right_tyre_mount.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/right_tyre_mount.STL,,Wheel mount on chassis-2,Origin_right_tyre_mount_j,,right_tyre_mount_j,fixed,-0.34367,-0.09653,0.32653,1.5708,-1.5708,0,Chassis,0,0,0,,,,,,,,,,,,
r_bearing,0.0809,-0.0038538,0.0092276,0,0,0,1.267,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/r_bearing.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Assem2/meshes/r_bearing.STL,,New tyre with rim-2/roller bearings-1,Origin_r_bearing_j,Axis_r_bearing_j,r_bearing_j,fixed,0.01,0,0,-1.9664,0,1.5708,right_tyre_mount,1,0,0,,,,,,,,,,,,
r_rim,0.13619,2.8011E-05,-3.9794E-08,0,0,0,70.756,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/r_rim.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/r_rim.STL,,New tyre with rim-2/rim_experiment-1,Origin_r_rim_j,Axis_r_rim_j,r_rim_j,continuous,0,-0.0038538,0.0092276,0,0,0,r_bearing,1,0,0,5,1,,,,,,,,,,
r_sprocket,9.4369E-16,-0.029524,0.00039802,0,0,0,1.5931,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/r_sprocket.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/r_sprocket.STL,,New tyre with rim-2/sprockets-1,Origin_r_sprocket_j,Axis_r_sprocket_j,r_sprocket_j,fixed,0.1422,0,0,0,-0.31416,1.5708,r_rim,0,1,0,,,,,,,,,,,,
